MatchDate,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,country,neutral,HomeTeamCode,AwayTeamCode,WorldcupSeason,FifaRankingUpdateDate,HomeTeamRating,AwayTeamRating
6/1/2019,Australia,Jordan,0,1,United Arab Emirates,TRUE,AUS,JOR,2022,20/12/18,1436,1196
7/1/2019,South Korea,Philippines,1,0,United Arab Emirates,TRUE,KOR,PHI,2022,20/12/18,1405,1171
7/1/2019,Iran,Yemen,5,0,United Arab Emirates,TRUE,IRN,YEM,2022,20/12/18,1481,1106
8/1/2019,Saudi Arabia,North Korea,4,0,United Arab Emirates,TRUE,KSA,PRK,2022,20/12/18,1335,1196
9/1/2019,Qatar,Lebanon,2,0,United Arab Emirates,TRUE,QAT,LBN,2022,20/12/18,1258,1296
9/1/2019,Japan,Turkmenistan,3,2,United Arab Emirates,TRUE,JPN,TKM,2022,20/12/18,1414,1120
11/1/2019,Palestine,Australia,0,3,United Arab Emirates,TRUE,PLE,AUS,2022,20/12/18,1236,1436
12/1/2019,Vietnam,Iran,0,2,United Arab Emirates,TRUE,VIE,IRN,2022,20/12/18,1229,1481
12/1/2019,Lebanon,Saudi Arabia,0,2,United Arab Emirates,TRUE,LBN,KSA,2022,20/12/18,1296,1335
13/01/19,North Korea,Qatar,0,6,United Arab Emirates,TRUE,PRK,QAT,2022,20/12/18,1196,1258
13/01/19,Oman,Japan,0,1,United Arab Emirates,TRUE,OMA,JPN,2022,20/12/18,1295,1414
15/01/19,Australia,Syria,3,2,United Arab Emirates,TRUE,AUS,SYR,2022,20/12/18,1436,1322
16/01/19,South Korea,China PR,2,0,United Arab Emirates,TRUE,KOR,CHN,2022,20/12/18,1405,1317
16/01/19,Iran,Iraq,0,0,United Arab Emirates,TRUE,IRN,IRQ,2022,20/12/18,1481,1271
17/01/19,Saudi Arabia,Qatar,0,2,United Arab Emirates,TRUE,KSA,QAT,2022,20/12/18,1335,1258
17/01/19,Japan,Uzbekistan,2,1,United Arab Emirates,TRUE,JPN,UZB,2022,20/12/18,1414,1251
20/01/19,Iran,Oman,2,0,United Arab Emirates,TRUE,IRN,OMA,2022,20/12/18,1481,1295
21/01/19,Australia,Uzbekistan,0,0,United Arab Emirates,TRUE,AUS,UZB,2022,20/12/18,1436,1251
21/01/19,Japan,Saudi Arabia,1,0,United Arab Emirates,TRUE,JPN,KSA,2022,20/12/18,1414,1335
22/01/19,South Korea,Bahrain,2,1,United Arab Emirates,TRUE,KOR,BHR,2022,20/12/18,1405,1178
22/01/19,Qatar,Iraq,1,0,United Arab Emirates,TRUE,QAT,IRQ,2022,20/12/18,1258,1271
24/01/19,China PR,Iran,0,3,United Arab Emirates,TRUE,CHN,IRN,2022,20/12/18,1317,1481
24/01/19,Vietnam,Japan,0,1,United Arab Emirates,TRUE,VIE,JPN,2022,20/12/18,1229,1414
25/01/19,South Korea,Qatar,0,1,United Arab Emirates,TRUE,KOR,QAT,2022,20/12/18,1405,1258
25/01/19,United Arab Emirates,Australia,1,0,United Arab Emirates,FALSE,UAE,AUS,2022,20/12/18,1309,1436
27/01/19,United States,Panama,3,0,United States,FALSE,USA,PAN,2022,20/12/18,1497,1326
28/01/19,Iran,Japan,0,3,United Arab Emirates,TRUE,IRN,JPN,2022,20/12/18,1481,1414
29/01/19,United Arab Emirates,Qatar,0,4,United Arab Emirates,FALSE,UAE,QAT,2022,20/12/18,1309,1258
1/2/2019,Japan,Qatar,1,3,United Arab Emirates,TRUE,JPN,QAT,2022,20/12/18,1414,1258
2/2/2019,United States,Costa Rica,2,0,United States,FALSE,USA,CRC,2022,20/12/18,1497,1464
20/03/19,Germany,Serbia,1,1,Germany,FALSE,GER,SRB,2022,7/2/2019,1558,1481
20/03/19,Wales,Trinidad and Tobago,1,0,Wales,FALSE,WAL,TRI,2022,7/2/2019,1525,1260
21/03/19,Kosovo,Denmark,2,2,Kosovo,FALSE,KOS,DEN,2022,7/2/2019,1113,1589
21/03/19,United Arab Emirates,Saudi Arabia,2,1,United Arab Emirates,FALSE,UAE,KSA,2022,7/2/2019,1355,1344
21/03/19,United States,Ecuador,1,0,United States,FALSE,USA,ECU,2022,7/2/2019,1501,1382
21/03/19,Netherlands,Belarus,4,0,Netherlands,FALSE,NED,BLR,2022,7/2/2019,1560,1317
21/03/19,Croatia,Azerbaijan,2,1,Croatia,FALSE,CRO,AZE,2022,7/2/2019,1634,1206
21/03/19,Austria,Poland,0,1,Austria,FALSE,AUT,POL,2022,7/2/2019,1509,1518
21/03/19,Belgium,Russia,3,1,Belgium,FALSE,BEL,RUS,2022,7/2/2019,1727,1424
22/03/19,Argentina,Venezuela,1,3,Spain,TRUE,ARG,VEN,2022,7/2/2019,1582,1478
22/03/19,Guatemala,Costa Rica,1,0,Guatemala,FALSE,GUA,CRC,2022,7/2/2019,1061,1461
22/03/19,South Korea,Bolivia,1,0,South Korea,FALSE,KOR,BOL,2022,7/2/2019,1451,1374
22/03/19,Mexico,Chile,3,1,United States,TRUE,MEX,CHI,2022,7/2/2019,1540,1565
22/03/19,England,Czech Republic,5,0,England,FALSE,ENG,CZE,2022,7/2/2019,1631,1435
22/03/19,Portugal,Ukraine,0,0,Portugal,FALSE,POR,UKR,2022,7/2/2019,1614,1482
22/03/19,Moldova,France,1,4,Moldova,FALSE,MDA,FRA,2022,7/2/2019,979,1726
23/03/19,Brazil,Panama,1,1,Portugal,TRUE,BRA,PAN,2022,7/2/2019,1676,1324
23/03/19,Georgia,Switzerland,0,2,Georgia,FALSE,GEO,SUI,2022,7/2/2019,1269,1599
23/03/19,Spain,Norway,2,1,Spain,FALSE,ESP,NOR,2022,7/2/2019,1591,1425
23/03/19,Senegal,Madagascar,2,0,Senegal,FALSE,SEN,MAD,2022,7/2/2019,1505,1209
23/03/19,Cameroon,Comoros,3,0,Cameroon,FALSE,CMR,COM,2022,7/2/2019,1394,1076
23/03/19,Ghana,Kenya,1,0,Ghana,FALSE,GHA,KEN,2022,7/2/2019,1412,1210
24/03/19,Netherlands,Germany,2,3,Netherlands,FALSE,NED,GER,2022,7/2/2019,1560,1558
24/03/19,Wales,Slovakia,1,0,Wales,FALSE,WAL,SVK,2022,7/2/2019,1525,1483
24/03/19,Hungary,Croatia,2,1,Hungary,FALSE,HUN,CRO,2022,7/2/2019,1412,1634
24/03/19,Poland,Latvia,2,0,Poland,FALSE,POL,LVA,2022,7/2/2019,1518,1112
24/03/19,Cyprus,Belgium,0,2,Cyprus,FALSE,CYP,BEL,2022,7/2/2019,1276,1727
25/03/19,Saudi Arabia,Equatorial Guinea,3,2,Saudi Arabia,FALSE,KSA,EQG,2022,7/2/2019,1344,1063
25/03/19,Montenegro,England,1,5,Montenegro,FALSE,MNE,ENG,2022,7/2/2019,1427,1631
25/03/19,Portugal,Serbia,1,1,Portugal,FALSE,POR,SRB,2022,7/2/2019,1614,1481
25/03/19,France,Iceland,4,0,France,FALSE,FRA,ISL,2022,7/2/2019,1726,1451
26/03/19,Algeria,Tunisia,1,0,Algeria,FALSE,ALG,TUN,2022,7/2/2019,1349,1493
26/03/19,Costa Rica,Jamaica,1,0,Costa Rica,FALSE,CRC,JAM,2022,7/2/2019,1461,1404
26/03/19,Czech Republic,Brazil,1,3,Czech Republic,FALSE,CZE,BRA,2022,7/2/2019,1435,1676
26/03/19,Ghana,Mauritania,3,1,Ghana,FALSE,GHA,MTN,2022,7/2/2019,1412,1222
26/03/19,Honduras,Ecuador,0,0,United States,TRUE,HON,ECU,2022,7/2/2019,1369,1382
26/03/19,South Korea,Colombia,2,1,South Korea,FALSE,KOR,COL,2022,7/2/2019,1451,1575
26/03/19,Morocco,Argentina,0,1,Morocco,FALSE,MAR,ARG,2022,7/2/2019,1440,1582
26/03/19,Paraguay,Mexico,2,4,United States,TRUE,PAR,MEX,2022,7/2/2019,1476,1540
26/03/19,Senegal,Mali,2,1,Senegal,FALSE,SEN,MLI,2022,7/2/2019,1505,1363
26/03/19,United States,Chile,1,1,United States,FALSE,USA,CHI,2022,7/2/2019,1501,1565
26/03/19,Switzerland,Denmark,3,3,Switzerland,FALSE,SUI,DEN,2022,7/2/2019,1599,1589
26/03/19,Malta,Spain,0,2,Malta,FALSE,MLT,ESP,2022,7/2/2019,926,1591
1/6/2019,Venezuela,Ecuador,1,1,United States,TRUE,VEN,ECU,2022,4/4/2019,1484,1378
2/6/2019,France,Bolivia,2,0,France,FALSE,FRA,BOL,2022,4/4/2019,1734,1366
5/6/2019,Brazil,Qatar,2,0,Brazil,FALSE,BRA,QAT,2022,4/4/2019,1676,1398
5/6/2019,Mexico,Venezuela,3,1,United States,TRUE,MEX,VEN,2022,4/4/2019,1549,1484
5/6/2019,Peru,Costa Rica,1,0,Peru,FALSE,PER,CRC,2022,4/4/2019,1516,1458
5/6/2019,United States,Jamaica,0,1,United States,FALSE,USA,JAM,2022,4/4/2019,1506,1391
5/6/2019,Portugal,Switzerland,3,1,Portugal,FALSE,POR,SUI,2022,4/4/2019,1607,1604
6/6/2019,Iran,Syria,5,0,Iran,FALSE,IRN,SYR,2022,4/4/2019,1516,1286
6/6/2019,England,Netherlands,1,3,Portugal,TRUE,ENG,NED,2022,4/4/2019,1647,1554
7/6/2019,Ukraine,Serbia,5,0,Ukraine,FALSE,UKR,SRB,2022,4/4/2019,1493,1484
7/6/2019,Denmark,Republic of Ireland,1,1,Denmark,FALSE,DEN,IRL,2022,4/4/2019,1586,1484
7/6/2019,Faroe Islands,Spain,1,4,Faroe Islands,FALSE,FRO,ESP,2022,4/4/2019,1213,1601
7/6/2019,North Macedonia,Poland,0,1,North Macedonia,FALSE,MKD,POL,2022,4/4/2019,1350,1535
7/6/2019,Argentina,Nicaragua,5,1,Argentina,FALSE,ARG,NCA,2022,4/4/2019,1580,1120
7/6/2019,South Korea,Australia,1,0,South Korea,FALSE,KOR,AUS,2022,4/4/2019,1462,1441
7/6/2019,Tunisia,Iraq,2,0,Tunisia,FALSE,TUN,IRQ,2022,4/4/2019,1491,1319
7/6/2019,Uruguay,Panama,3,0,Uruguay,FALSE,URU,PAN,2022,4/4/2019,1613,1327
8/6/2019,Belarus,Germany,0,2,Belarus,FALSE,BLR,GER,2022,4/4/2019,1301,1570
8/6/2019,Croatia,Wales,2,1,Croatia,FALSE,CRO,WAL,2022,4/4/2019,1621,1539
8/6/2019,Turkey,France,2,0,Turkey,FALSE,TUR,FRA,2022,4/4/2019,1457,1734
8/6/2019,Belgium,Kazakhstan,3,0,Belgium,FALSE,BEL,KAZ,2022,4/4/2019,1737,1171
9/6/2019,Brazil,Honduras,7,0,Brazil,FALSE,BRA,HON,2022,4/4/2019,1676,1369
9/6/2019,Cameroon,Zambia,2,1,Cameroon,FALSE,CMR,ZAM,2022,4/4/2019,1399,1302
9/6/2019,Mexico,Ecuador,3,2,United States,TRUE,MEX,ECU,2022,4/4/2019,1549,1378
9/6/2019,United States,Venezuela,0,3,United States,FALSE,USA,VEN,2022,4/4/2019,1506,1484
9/6/2019,Switzerland,England,0,0,Portugal,TRUE,SUI,ENG,2022,4/4/2019,1604,1647
9/6/2019,Portugal,Netherlands,1,0,Portugal,FALSE,POR,NED,2022,4/4/2019,1607,1554
10/6/2019,Serbia,Lithuania,4,1,Serbia,FALSE,SRB,LTU,2022,4/4/2019,1484,1102
10/6/2019,Denmark,Georgia,5,1,Denmark,FALSE,DEN,GEO,2022,4/4/2019,1586,1256
10/6/2019,Spain,Sweden,3,0,Spain,FALSE,ESP,SWE,2022,4/4/2019,1601,1567
10/6/2019,Poland,Israel,4,0,Poland,FALSE,POL,ISR,2022,4/4/2019,1535,1285
11/6/2019,Germany,Estonia,8,0,Germany,FALSE,GER,EST,2022,4/4/2019,1570,1240
11/6/2019,Hungary,Wales,1,0,Hungary,FALSE,HUN,WAL,2022,4/4/2019,1419,1539
11/6/2019,Andorra,France,0,4,Andorra,FALSE,AND,FRA,2022,4/4/2019,1099,1734
11/6/2019,Belgium,Scotland,3,0,Belgium,FALSE,BEL,SCO,2022,4/4/2019,1737,1430
11/6/2019,Croatia,Tunisia,1,2,Croatia,FALSE,CRO,TUN,2022,4/4/2019,1621,1491
11/6/2019,South Korea,Iran,1,1,South Korea,FALSE,KOR,IRN,2022,4/4/2019,1462,1516
12/6/2019,Morocco,Gambia,0,1,Morocco,FALSE,MAR,GAM,2022,4/4/2019,1429,994
14/06/19,Cameroon,Mali,1,1,Qatar,TRUE,CMR,MLI,2022,4/4/2019,1399,1365
14/06/19,Brazil,Bolivia,3,0,Brazil,FALSE,BRA,BOL,2022,4/4/2019,1676,1366
15/06/19,Argentina,Colombia,0,2,Brazil,TRUE,ARG,COL,2022,14/06/19,1582,1580
15/06/19,Ghana,South Africa,0,0,United Arab Emirates,TRUE,GHA,RSA,2022,14/06/19,1423,1335
16/06/19,Paraguay,Qatar,2,2,Brazil,TRUE,PAR,QAT,2022,14/06/19,1468,1396
16/06/19,Uruguay,Ecuador,4,0,Brazil,TRUE,URU,ECU,2022,14/06/19,1615,1375
16/06/19,Morocco,Zambia,2,3,Morocco,FALSE,MAR,ZAM,2022,14/06/19,1429,1298
16/06/19,Senegal,Nigeria,1,0,Egypt,TRUE,SEN,NGA,2022,14/06/19,1515,1433
17/06/19,Japan,Chile,0,4,Brazil,TRUE,JPN,CHI,2022,14/06/19,1496,1561
17/06/19,Tunisia,Burundi,2,1,Tunisia,FALSE,TUN,BDI,2022,14/06/19,1501,1092
18/06/19,Brazil,Venezuela,0,0,Brazil,FALSE,BRA,VEN,2022,14/06/19,1681,1485
19/06/19,Colombia,Qatar,1,0,Brazil,TRUE,COL,QAT,2022,14/06/19,1580,1396
19/06/19,Argentina,Paraguay,1,1,Brazil,TRUE,ARG,PAR,2022,14/06/19,1582,1468
20/06/19,Uruguay,Japan,2,2,Brazil,TRUE,URU,JPN,2022,14/06/19,1615,1496
21/06/19,Ecuador,Chile,1,2,Brazil,TRUE,ECU,CHI,2022,14/06/19,1375,1561
22/06/19,Brazil,Peru,5,0,Brazil,FALSE,BRA,PER,2022,14/06/19,1681,1516
23/06/19,Senegal,Tanzania,2,0,Egypt,TRUE,SEN,TAN,2022,14/06/19,1515,1105
23/06/19,Morocco,Namibia,1,0,Egypt,TRUE,MAR,NAM,2022,14/06/19,1429,1182
23/06/19,Qatar,Argentina,0,2,Brazil,TRUE,QAT,ARG,2022,14/06/19,1396,1582
24/06/19,Tunisia,Angola,1,1,Egypt,TRUE,TUN,ANG,2022,14/06/19,1501,1142
24/06/19,Chile,Uruguay,0,1,Brazil,TRUE,CHI,URU,2022,14/06/19,1561,1615
24/06/19,Ecuador,Japan,1,1,Brazil,TRUE,ECU,JPN,2022,14/06/19,1375,1496
25/06/19,Cameroon,Guinea-Bissau,2,0,Egypt,TRUE,CMR,GNB,2022,14/06/19,1404,1158
25/06/19,Ghana,Benin,2,2,Egypt,TRUE,GHA,BEN,2022,14/06/19,1423,1273
27/06/19,Senegal,Algeria,0,1,Egypt,TRUE,SEN,ALG,2022,14/06/19,1515,1346
27/06/19,Brazil,Paraguay,0,0,Brazil,FALSE,BRA,PAR,2022,14/06/19,1681,1468
28/06/19,Morocco,Ivory Coast,1,0,Egypt,TRUE,MAR,CIV,2022,14/06/19,1429,1365
28/06/19,Tunisia,Mali,1,1,Egypt,TRUE,TUN,MLI,2022,14/06/19,1501,1365
28/06/19,Venezuela,Argentina,0,2,Brazil,TRUE,VEN,ARG,2022,14/06/19,1485,1582
29/06/19,Cameroon,Ghana,0,0,Egypt,TRUE,CMR,GHA,2022,14/06/19,1404,1423
29/06/19,Uruguay,Peru,0,0,Brazil,TRUE,URU,PER,2022,14/06/19,1615,1516
1/7/2019,Kenya,Senegal,0,3,Egypt,TRUE,KEN,SEN,2022,14/06/19,1207,1515
1/7/2019,South Africa,Morocco,0,1,Egypt,TRUE,RSA,MAR,2022,14/06/19,1335,1429
2/7/2019,Mauritania,Tunisia,0,0,Egypt,TRUE,MTN,TUN,2022,14/06/19,1210,1501
2/7/2019,Benin,Cameroon,0,0,Egypt,TRUE,BEN,CMR,2022,14/06/19,1273,1404
2/7/2019,Guinea-Bissau,Ghana,0,2,Egypt,TRUE,GNB,GHA,2022,14/06/19,1158,1423
2/7/2019,Brazil,Argentina,2,0,Brazil,FALSE,BRA,ARG,2022,14/06/19,1681,1582
5/7/2019,Morocco,Benin,1,1,Egypt,TRUE,MAR,BEN,2022,14/06/19,1429,1273
5/7/2019,Uganda,Senegal,0,1,Egypt,TRUE,UGA,SEN,2022,14/06/19,1299,1515
6/7/2019,Nigeria,Cameroon,3,2,Egypt,TRUE,NGA,CMR,2022,14/06/19,1433,1404
6/7/2019,Argentina,Chile,2,1,Brazil,TRUE,ARG,CHI,2022,14/06/19,1582,1561
7/7/2019,Brazil,Peru,3,1,Brazil,FALSE,BRA,PER,2022,14/06/19,1681,1516
8/7/2019,Ghana,Tunisia,1,1,Egypt,TRUE,GHA,TUN,2022,14/06/19,1423,1501
10/7/2019,Senegal,Benin,1,0,Egypt,TRUE,SEN,BEN,2022,14/06/19,1515,1273
11/7/2019,Madagascar,Tunisia,0,3,Egypt,TRUE,MAD,TUN,2022,14/06/19,1198,1501
14/07/19,Senegal,Tunisia,1,0,Egypt,TRUE,SEN,TUN,2022,14/06/19,1515,1501
17/07/19,Tunisia,Nigeria,0,1,Egypt,TRUE,TUN,NGA,2022,14/06/19,1501,1433
19/07/19,Senegal,Algeria,0,1,Egypt,TRUE,SEN,ALG,2022,14/06/19,1515,1346
28/07/19,Liberia,Senegal,1,0,Liberia,FALSE,LBR,SEN,2022,25/07/19,1044,1550
3/8/2019,Senegal,Liberia,3,0,Senegal,FALSE,SEN,LBR,2022,25/07/19,1550,1044
5/9/2019,Argentina,Chile,0,0,United States,TRUE,ARG,CHI,2022,25/07/19,1610,1583
5/9/2019,South Korea,Georgia,2,2,Turkey,TRUE,KOR,GEO,2022,25/07/19,1467,1255
5/9/2019,Peru,Ecuador,0,1,United States,TRUE,PER,ECU,2022,25/07/19,1552,1359
5/9/2019,Saudi Arabia,Mali,1,1,Saudi Arabia,FALSE,KSA,MLI,2022,25/07/19,1342,1389
5/9/2019,Republic of Ireland,Switzerland,1,1,Republic of Ireland,FALSE,IRL,SUI,2022,25/07/19,1489,1605
5/9/2019,Gibraltar,Denmark,0,6,Gibraltar,FALSE,GIB,DEN,2022,25/07/19,893,1589
5/9/2019,Romania,Spain,1,2,Romania,FALSE,ROU,ESP,2022,25/07/19,1497,1617
5/9/2019,Qatar,Afghanistan,6,0,Qatar,FALSE,QAT,AFG,2022,25/07/19,1375,1058
6/9/2019,Brazil,Colombia,2,2,United States,TRUE,BRA,COL,2022,25/07/19,1726,1622
6/9/2019,Costa Rica,Uruguay,1,2,Costa Rica,FALSE,CRC,URU,2022,25/07/19,1445,1637
6/9/2019,Morocco,Burkina Faso,1,1,Morocco,FALSE,MAR,BFA,2022,25/07/19,1461,1381
6/9/2019,Tunisia,Mauritania,1,0,Tunisia,FALSE,TUN,MTN,2022,25/07/19,1496,1205
6/9/2019,United States,Mexico,0,3,United States,FALSE,USA,MEX,2022,25/07/19,1548,1604
6/9/2019,Germany,Netherlands,2,4,Germany,FALSE,GER,NED,2022,25/07/19,1582,1569
6/9/2019,Wales,Azerbaijan,2,1,Wales,FALSE,WAL,AZE,2022,25/07/19,1514,1188
6/9/2019,Slovakia,Croatia,0,4,Slovakia,FALSE,SVK,CRO,2022,25/07/19,1491,1625
6/9/2019,Slovenia,Poland,2,0,Slovenia,FALSE,SVN,POL,2022,25/07/19,1363,1550
6/9/2019,San Marino,Belgium,0,4,San Marino,FALSE,SMR,BEL,2022,25/07/19,839,1746
7/9/2019,England,Bulgaria,4,0,England,FALSE,ENG,BUL,2022,25/07/19,1652,1388
7/9/2019,Serbia,Portugal,2,4,Serbia,FALSE,SRB,POR,2022,25/07/19,1477,1631
7/9/2019,France,Albania,4,1,France,FALSE,FRA,ALB,2022,25/07/19,1718,1362
8/9/2019,Switzerland,Gibraltar,4,0,Switzerland,FALSE,SUI,GIB,2022,25/07/19,1605,893
8/9/2019,Georgia,Denmark,0,0,Georgia,FALSE,GEO,DEN,2022,25/07/19,1255,1589
8/9/2019,Spain,Faroe Islands,4,0,Egypt,TRUE,ESP,FRO,2022,25/07/19,1617,1200
9/9/2019,Wales,Belarus,1,0,Wales,FALSE,WAL,BLR,2022,25/07/19,1514,1286
9/9/2019,Northern Ireland,Germany,0,2,Northern Ireland,FALSE,NIR,GER,2022,25/07/19,1496,1582
9/9/2019,Estonia,Netherlands,0,4,Estonia,FALSE,EST,NED,2022,25/07/19,1228,1569
9/9/2019,Azerbaijan,Croatia,1,1,Azerbaijan,FALSE,AZE,CRO,2022,25/07/19,1188,1625
9/9/2019,Poland,Austria,0,0,Poland,FALSE,POL,AUT,2022,25/07/19,1550,1498
9/9/2019,Scotland,Belgium,0,4,Scotland,FALSE,SCO,BEL,2022,25/07/19,1433,1746
10/9/2019,Argentina,Mexico,4,0,United States,TRUE,ARG,MEX,2022,25/07/19,1610,1604
10/9/2019,Brazil,Peru,0,1,United States,TRUE,BRA,PER,2022,25/07/19,1726,1552
10/9/2019,Ecuador,Bolivia,3,0,Ecuador,FALSE,ECU,BOL,2022,25/07/19,1359,1332
10/9/2019,Ivory Coast,Tunisia,2,1,France,TRUE,CIV,TUN,2022,25/07/19,1394,1496
10/9/2019,Morocco,Niger,1,0,Morocco,FALSE,MAR,NIG,2022,25/07/19,1461,1209
10/9/2019,United States,Uruguay,1,1,United States,FALSE,USA,URU,2022,25/07/19,1548,1637
10/9/2019,England,Kosovo,5,3,England,FALSE,ENG,KOS,2022,25/07/19,1652,1149
10/9/2019,Luxembourg,Serbia,1,3,Luxembourg,FALSE,LUX,SRB,2022,25/07/19,1265,1477
10/9/2019,Lithuania,Portugal,1,5,Lithuania,FALSE,LTU,POR,2022,25/07/19,1101,1631
10/9/2019,France,Andorra,3,0,France,FALSE,FRA,AND,2022,25/07/19,1718,1082
10/9/2019,Kuwait,Australia,0,3,Kuwait,FALSE,KUW,AUS,2022,25/07/19,1022,1436
10/9/2019,Hong Kong,Iran,0,2,Hong Kong,FALSE,HKG,IRN,2022,25/07/19,1074,1518
10/9/2019,Yemen,Saudi Arabia,2,2,Bahrain,TRUE,YEM,KSA,2022,25/07/19,1073,1342
